#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000006.1:85486-88341|-   -            952 854at91347           -            818         0 1432.8   0.0   1   1         0         0 1432.0   0.0     1   814     1   932     1   935 0.91 NZ_ABAO01000006.1_81 # 85486 # 88341 # -1 # ID=108_81;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.570
NZ_ABAO01000005.1:153525-155558|+ -            678 854at91347           -            818   0.00045   16.4   0.2   2   3     0.094   1.1e+02   -1.4   0.2   373   415   214   267   210   329 0.55 NZ_ABAO01000005.1_141 # 153525 # 155558 # 1 # ID=109_141;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.548
NZ_ABAO01000005.1:153525-155558|+ -            678 854at91347           -            818   0.00045   16.4   0.2   3   3       0.1   1.2e+02   -1.6   0.0   498   520   322   343   317   366 0.78 NZ_ABAO01000005.1_141 # 153525 # 155558 # 1 # ID=109_141;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.548
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/854at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000170255.1_ASM17025v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/854at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/854at91347.hmm reports/busco-results/data/00-reads/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:14 2026
# [ok]
